job_id,title,company,location,job_type,salary,url,source,scraped_at,_id,description
s01_65,,,,,,,s01,2025-04-10T03:04:42.845000,67f7354a2c8fa07dd445ea22,
s01_66,,,,,,,s01,2025-04-10T03:04:42.845000,67f7354a2c8fa07dd445ea23,
s01_67,,,,,,,s01,2025-04-10T03:04:42.846000,67f7354a2c8fa07dd445ea24,
s02_68,,,,,,,s02,2025-04-10T03:04:42.846000,67f7354a2c8fa07dd445ea25,
s02_69,,,,,,,s02,2025-04-10T03:04:42.847000,67f7354a2c8fa07dd445ea26,
s02_70,,,,,,,s02,2025-04-10T03:04:42.847000,67f7354a2c8fa07dd445ea27,
s02_71,,,,,,,s02,2025-04-10T03:04:42.847000,67f7354a2c8fa07dd445ea28,
s02_72,,,,,,,s02,2025-04-10T03:04:42.848000,67f7354a2c8fa07dd445ea29,
s02_73,,,,,,,s02,2025-04-10T03:04:42.848000,67f7354a2c8fa07dd445ea2a,
s02_74,,,,,,,s02,2025-04-10T03:04:42.849000,67f7354a2c8fa07dd445ea2b,
s02_75,,,,,,,s02,2025-04-10T03:04:42.849000,67f7354a2c8fa07dd445ea2c,
s02_76,,,,,,,s02,2025-04-10T03:04:42.850000,67f7354a2c8fa07dd445ea2d,
s02_77,,,,,,,s02,2025-04-10T03:04:42.850000,67f7354a2c8fa07dd445ea2e,
s02_78,,,,,,,s02,2025-04-10T03:04:42.850000,67f7354a2c8fa07dd445ea2f,
s02_79,,,,,,,s02,2025-04-10T03:04:42.851000,67f7354a2c8fa07dd445ea30,
s02_80,,,,,,,s02,2025-04-10T03:04:42.851000,67f7354a2c8fa07dd445ea31,
s02_81,,,,,,,s02,2025-04-10T03:04:42.852000,67f7354a2c8fa07dd445ea32,
s02_82,,,,,,,s02,2025-04-10T03:04:42.852000,67f7354a2c8fa07dd445ea33,
s02_83,,,,,,,s02,2025-04-10T03:04:42.853000,67f7354a2c8fa07dd445ea34,
s02_84,,,,,,,s02,2025-04-10T03:04:42.853000,67f7354a2c8fa07dd445ea35,
s02_85,,,,,,,s02,2025-04-10T03:04:42.853000,67f7354a2c8fa07dd445ea36,
s02_86,,,,,,,s02,2025-04-10T03:04:42.854000,67f7354a2c8fa07dd445ea37,
s02_87,,,,,,,s02,2025-04-10T03:04:42.854000,67f7354a2c8fa07dd445ea38,
s02_88,,,,,,,s02,2025-04-10T03:04:42.855000,67f7354a2c8fa07dd445ea39,
s02_89,,,,,,,s02,2025-04-10T03:04:42.855000,67f7354a2c8fa07dd445ea3a,
s02_90,,,,,,,s02,2025-04-10T03:04:42.856000,67f7354a2c8fa07dd445ea3b,
s02_91,,,,,,,s02,2025-04-10T03:04:42.856000,67f7354a2c8fa07dd445ea3c,
s01_92,,,,,,,s01,2025-04-10T03:04:42.856000,67f7354a2c8fa07dd445ea3d,
s01_93,,,,,,,s01,2025-04-10T03:04:42.857000,67f7354a2c8fa07dd445ea3e,
s01_94,,,,,,,s01,2025-04-10T03:04:42.857000,67f7354a2c8fa07dd445ea3f,
s01_95,,,,,,,s01,2025-04-10T03:04:42.858000,67f7354a2c8fa07dd445ea40,
s01_96,,,,,,,s01,2025-04-10T03:04:42.858000,67f7354a2c8fa07dd445ea41,
s01_97,,,,,,,s01,2025-04-10T03:04:42.859000,67f7354a2c8fa07dd445ea42,
s01_98,,,,,,,s01,2025-04-10T03:04:42.859000,67f7354a2c8fa07dd445ea43,
s01_99,,,,,,,s01,2025-04-10T03:04:42.859000,67f7354a2c8fa07dd445ea44,
s01_100,,,,,,,s01,2025-04-10T03:04:42.860000,67f7354a2c8fa07dd445ea45,
s01_101,,,,,,,s01,2025-04-10T03:04:42.860000,67f7354a2c8fa07dd445ea46,
s01_102,,,,,,,s01,2025-04-10T03:04:42.861000,67f7354a2c8fa07dd445ea47,
s01_103,,,,,,,s01,2025-04-10T03:04:42.861000,67f7354a2c8fa07dd445ea48,
s01_104,,,,,,,s01,2025-04-10T03:04:42.862000,67f7354a2c8fa07dd445ea49,
s01_105,,,,,,,s01,2025-04-10T03:04:42.862000,67f7354a2c8fa07dd445ea4a,
s01_106,,,,,,,s01,2025-04-10T03:04:42.862000,67f7354a2c8fa07dd445ea4b,
s01_107,,,,,,,s01,2025-04-10T03:04:42.863000,67f7354a2c8fa07dd445ea4c,
s01_108,,,,,,,s01,2025-04-10T03:04:42.863000,67f7354a2c8fa07dd445ea4d,
s01_109,,,,,,,s01,2025-04-10T03:04:42.864000,67f7354a2c8fa07dd445ea4e,
